Status ==> [200], Response Time ==> [5.768 ms], Date & Time ==> [Wed, 17 May 2023 14:16:12 GMT], Method ==> [GET], Url ==> [/teachers] 
Status ==> [201], Response Time ==> [300.824 ms], Date & Time ==> [Wed, 17 May 2023 14:16:19 GMT], Method ==> [POST], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [0.868 ms], Date & Time ==> [Wed, 17 May 2023 14:16:28 GMT], Method ==> [GET], Url ==> [/teachers/99] 
Status ==> [200], Response Time ==> [1.131 ms], Date & Time ==> [Wed, 17 May 2023 14:16:34 GMT], Method ==> [PUT], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [8.173 ms], Date & Time ==> [Wed, 17 May 2023 14:16:40 GMT], Method ==> [DELETE], Url ==> [/teachers] 
Status ==> [200], Response Time ==> [0.868 ms], Date & Time ==> [Wed, 17 May 2023 14:16:44 GMT], Method ==> [GET], Url ==> [/teachers/supervisors] 
Status ==> [200], Response Time ==> [1.137 ms], Date & Time ==> [Wed, 17 May 2023 14:16:52 GMT], Method ==> [GET], Url ==> [/child] 
Status ==> [200], Response Time ==> [0.800 ms], Date & Time ==> [Wed, 17 May 2023 14:17:02 GMT], Method ==> [GET], Url ==> [/child/8] 
Status ==> [200], Response Time ==> [0.703 ms], Date & Time ==> [Wed, 17 May 2023 14:17:06 GMT], Method ==> [GET], Url ==> [/child/class/5] 
Status ==> [201], Response Time ==> [0.628 ms], Date & Time ==> [Wed, 17 May 2023 14:17:29 GMT], Method ==> [POST], Url ==> [/child] 
Status ==> [200], Response Time ==> [0.877 ms], Date & Time ==> [Wed, 17 May 2023 14:17:33 GMT], Method ==> [PUT], Url ==> [/child] 
Status ==> [200], Response Time ==> [0.680 ms], Date & Time ==> [Wed, 17 May 2023 14:17:37 GMT], Method ==> [DELETE], Url ==> [/child] 
Status ==> [200], Response Time ==> [0.874 ms], Date & Time ==> [Wed, 17 May 2023 14:17:41 GMT], Method ==> [GET], Url ==> [/class] 
Status ==> [200], Response Time ==> [1.240 ms], Date & Time ==> [Wed, 17 May 2023 14:17:50 GMT], Method ==> [GET], Url ==> [/class/5] 
Status ==> [201], Response Time ==> [1.768 ms], Date & Time ==> [Wed, 17 May 2023 14:17:53 GMT], Method ==> [POST], Url ==> [/class] 
Status ==> [201], Response Time ==> [0.610 ms], Date & Time ==> [Wed, 17 May 2023 14:17:58 GMT], Method ==> [PUT], Url ==> [/class] 
